bank_txn_id,value_date,narration,credit_amount
bnk_0001,2026-08-03,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-HDFCN26215398382-SETTLEMENT,4404619
bnk_0002,2026-08-05,NEFT-CR-ICIC0001234-RAZORPAY SOFTWARE PVT LTD-UTIBN26217069403-SETTLEMENT,7826619
bnk_0003,2026-08-07,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-ICICN26219532342-SETTLEMENT,9147243
bnk_0004,2026-08-09,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-ICICN26221007540-SETTLEMENT,13463135
bnk_0005,2026-08-11,NEFT-CR-ICIC0001234-RAZORPAY SOFTWARE PVT LTD-UTIBN26223485100-SETTLEMENT,5307717
bnk_0006,2026-08-13,NEFT-CR-ICIC0001234-RAZORPAY SOFTW-XXXXXX-HDFCN26225708011 -REF/CMS/2026/523389/PYMT,7681070
bnk_0007,2026-08-15,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-UTIBN26227923653-SETTLEMENT,7291998
bnk_0008,2026-08-17,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-KKBKN26229588153-SETTLEMENT,8237508
bnk_0009,2026-08-19,NEFT-CR-KKBK0004321-RAZORPAY SOFTWARE PVT LTD-ICICN26231924231-SETTLEMENT,1949898
bnk_0010,2026-08-20,NEFT-CR-ICIC0001234-RAZORPAY SOFTWARE PVT LTD-ICICN26231924231-SETTLEMENT,1949899
bnk_0011,2026-08-21,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-UTIBN26233457592-SETTLEMENT,7241095
bnk_0012,2026-08-25,NEFT-CR-ICIC0001234-RAZORPAY SOFTWARE PVT LTD-HDFCN26237048458-SETTLEMENT,4577067
bnk_0013,2026-08-25,RETURN-HDFCN26237048458-REV OF NEFT CR-HDFC0000123-SAME DAY,-4577067
bnk_0014,2026-08-26,NEFT-CR-ICIC0001234-RAZORPAY SOFTWARE PVT LTD-KKBKN26237929181-SETTLEMENT,4577067
bnk_0015,2026-08-27,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-UTIBN26239936406-SETTLEMENT,11272855
bnk_0016,2026-08-31,NEFT-CR-ICIC0001234-RAZORPAY SOFTW-UTR XXXXXXXXXXXXXXXX-CMS/350132,18517985
bnk_0017,2026-09-02,NEFT-CR-KKBK0004321-ACME RETAIL PVT-INV/2026/801978 DIRECT,232352
bnk_0018,2026-09-04,NEFT-CR-KKBK0004321-RAZORPAY SOFTW-UTR XXXXXXXXXXXXXXXX-CMS/355709,6578755
bnk_0019,2026-09-04,NEFT-CR-KKBK0004321-RAZORPAY SOFTW-UTR XXXXXXXXXXXXXXXX-CMS/697530,6578755
bnk_0020,2026-09-06,NEFT-CR-ICIC0001234-RAZORPAY SOFTWARE PVT LTD-UTIBN26249125362-SETTLEMENT,9355974
bnk_0021,2026-09-08,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-KKBKN26251077680-SETTLEMENT,3889105
bnk_0022,2026-09-09,NEFT-CR-UTIB0000456-RAZORPAY SOFTWARE PVT LTD-ICICN26251850544-SETTLEMENT,3889105
bnk_0023,2026-09-12,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-UTIBN26253524783-SETTLEMENT,10879106
bnk_0024,2026-09-14,NEFT-CR-KKBK0004321-RAZORPAY SOFTW-XXXXXX-KKBKN26257364863 -REF/CMS/2026/449499/PYMT,3862266
bnk_0025,2026-09-16,NEFT-CR-HDFC0000123-RAZORPAY SOFTWARE PVT LTD-UTIBN26259577596-SETTLEMENT,9280943
bnk_0026,2026-09-18,NEFT-CR-KKBK0004321-RAZORPAY SOFTWARE PVT LTD-KKBKN26261564742-SETTLEMENT,4463694
bnk_0027,2026-09-22,NEFT-CR-UTIB0000456-RAZORPAY SOFTWARE PVT LTD-HDFCN26265307618-SETTLEMENT,2773482
bnk_0028,2026-09-22,RETURN-HDFCN26265307618-REV OF NEFT CR-KKBK0004321-SAME DAY,-2773482
bnk_0029,2026-09-23,NEFT-CR-KKBK0004321-RAZORPAY SOFTWARE PVT LTD-ICICN26265556968-SETTLEMENT,2773482
bnk_0030,2026-09-24,NEFT-CR-KKBK0004321-RAZORPAY SOFTWARE PVT LTD-HDFCN26267248728-SETTLEMENT,7965953
bnk_0031,2026-09-24,NEFT-CR-UTIB0000456-VIDYA LABS LLP-INV/2026/833247 DIRECT,476395
