payment_id,order_id,amount,fee,tax,method,captured_at,status
pay_0001,ord_0001,154902,1239,223,upi,2026-08-01T13:15:14,captured
pay_0002,ord_0002,2337433,46749,8415,card,2026-08-01T15:02:01,captured
pay_0003,ord_0003,1025850,8207,1477,upi,2026-08-01T09:35:12,captured
pay_0004,ord_0004,974594,18517,3333,netbanking,2026-08-01T13:51:55,captured
pay_0005,ord_0005,1822573,34629,6233,netbanking,2026-08-01T13:09:13,failed
pay_0006,ord_0006,1159480,23190,4174,card,2026-08-03T16:34:07,captured
pay_0007,ord_0007,2365426,44943,8090,netbanking,2026-08-03T14:36:12,captured
pay_0008,ord_0008,1005874,19112,3440,netbanking,2026-08-03T10:54:14,captured
pay_0009,ord_0009,1215905,23102,4158,netbanking,2026-08-03T14:10:23,captured
pay_0010,ord_0010,1169786,9358,1684,upi,2026-08-03T10:38:40,captured
pay_0011,ord_0011,1076811,21536,3876,card,2026-08-03T16:24:17,captured
pay_0012,ord_0012,1410140,28203,5077,card,2026-08-03T12:52:02,failed
pay_0013,ord_0013,941820,7535,1356,upi,2026-08-05T16:25:56,captured
pay_0014,ord_0014,1160987,23220,4180,card,2026-08-05T12:47:35,captured
pay_0015,ord_0015,1846981,14776,2660,upi,2026-08-05T15:23:14,captured
pay_0016,ord_0016,2119955,42399,7632,card,2026-08-05T09:55:07,captured
pay_0017,ord_0017,721013,5768,1038,upi,2026-08-05T15:38:04,captured
pay_0018,ord_0018,2013143,16105,2899,upi,2026-08-05T13:35:55,captured
pay_0019,ord_0019,477418,3819,687,upi,2026-08-05T17:48:17,captured
pay_0020,ord_0020,1281028,24340,4381,netbanking,2026-08-05T11:29:00,failed
pay_0021,ord_0021,2179292,17434,3138,upi,2026-08-07T12:09:23,captured
pay_0022,ord_0022,2274464,45489,8188,card,2026-08-07T14:31:01,captured
pay_0023,ord_0023,1339807,26796,4823,card,2026-08-07T09:15:56,captured
pay_0024,ord_0024,2088391,41768,7518,card,2026-08-07T17:49:08,captured
pay_0025,ord_0025,2043478,16348,2943,upi,2026-08-07T11:16:33,captured
pay_0026,ord_0026,2311971,18496,3329,upi,2026-08-07T12:45:19,captured
pay_0027,ord_0027,1454615,27638,4975,netbanking,2026-08-07T17:28:07,captured
pay_0028,ord_0028,318544,6052,1089,netbanking,2026-08-07T09:37:35,failed
pay_0029,ord_0029,1010251,20205,3637,card,2026-08-09T09:55:21,captured
pay_0030,ord_0030,1048263,19917,3585,netbanking,2026-08-09T16:13:34,captured
pay_0031,ord_0031,2466806,46869,8436,netbanking,2026-08-09T12:50:30,captured
pay_0032,ord_0032,445631,8913,1604,card,2026-08-09T15:22:27,captured
pay_0033,ord_0033,460807,9216,1659,card,2026-08-09T15:46:21,captured
pay_0034,ord_0034,853587,17072,3073,card,2026-08-09T17:28:08,failed
pay_0035,ord_0035,2358231,47165,8490,card,2026-08-11T09:41:34,captured
pay_0036,ord_0036,1041447,20829,3749,card,2026-08-11T15:31:30,captured
pay_0037,ord_0037,295934,5919,1065,card,2026-08-11T15:00:24,captured
pay_0038,ord_0038,1246421,23682,4263,netbanking,2026-08-11T17:42:45,captured
pay_0039,ord_0039,846489,16083,2895,netbanking,2026-08-11T12:03:37,captured
pay_0040,ord_0040,1365353,27307,4915,card,2026-08-11T09:37:30,captured
pay_0041,ord_0041,710320,14206,2557,card,2026-08-11T17:05:54,captured
pay_0042,ord_0042,2439391,48788,8782,card,2026-08-13T09:39:05,captured
pay_0043,ord_0043,2498099,19985,3597,upi,2026-08-13T17:20:59,captured
pay_0044,ord_0044,1367782,27356,4924,card,2026-08-13T13:25:08,captured
pay_0045,ord_0045,1376143,27523,4954,card,2026-08-13T09:29:39,captured
pay_0046,ord_0046,1245323,24906,4483,card,2026-08-15T16:53:34,captured
pay_0047,ord_0047,2268538,45371,8167,card,2026-08-15T17:19:59,captured
pay_0048,ord_0048,1159250,23185,4173,card,2026-08-15T10:47:35,captured
pay_0049,ord_0049,1231771,9854,1774,upi,2026-08-15T12:45:21,captured
pay_0050,ord_0050,1157228,9258,1666,upi,2026-08-15T16:16:57,captured
pay_0051,ord_0051,1826605,34705,6247,netbanking,2026-08-15T09:00:21,captured
pay_0052,ord_0052,675178,5401,972,upi,2026-08-17T09:53:23,captured
pay_0053,ord_0053,584545,11691,2104,card,2026-08-17T13:23:57,captured
pay_0054,ord_0054,931124,7449,1341,upi,2026-08-17T12:42:06,captured
pay_0055,ord_0055,1754470,14036,2526,upi,2026-08-17T11:59:59,captured
pay_0056,ord_0056,1443286,27430,4937,netbanking,2026-08-19T12:17:10,captured
pay_0057,ord_0057,212422,4036,726,netbanking,2026-08-19T12:12:52,captured
pay_0058,ord_0058,1330063,26601,4788,card,2026-08-19T12:01:42,captured
pay_0059,ord_0059,1426830,27110,4880,netbanking,2026-08-19T10:49:17,captured
pay_0060,ord_0060,2186602,41545,7478,netbanking,2026-08-19T17:21:01,captured
pay_0061,ord_0061,798967,6392,1151,upi,2026-08-19T13:02:06,captured
pay_0062,ord_0062,1118383,22368,4026,card,2026-08-21T15:00:33,captured
pay_0063,ord_0063,876425,16652,2997,netbanking,2026-08-21T15:04:42,captured
pay_0064,ord_0064,1366657,10933,1968,upi,2026-08-21T10:46:57,captured
pay_0065,ord_0065,1347233,10778,1940,upi,2026-08-21T15:20:25,captured
pay_0066,ord_0066,583883,11678,2102,card,2026-08-21T15:42:24,captured
pay_0067,ord_0067,1324543,25166,4530,netbanking,2026-08-23T12:27:50,captured
pay_0068,ord_0068,1902984,36157,6508,netbanking,2026-08-23T12:32:30,captured
pay_0069,ord_0069,405658,7708,1387,netbanking,2026-08-23T17:42:40,captured
pay_0070,ord_0070,1035110,8281,1491,upi,2026-08-23T13:14:51,captured
pay_0071,ord_0071,2123568,40348,7263,netbanking,2026-08-25T12:09:41,captured
pay_0072,ord_0072,1833192,36664,6600,card,2026-08-25T11:51:44,captured
pay_0073,ord_0073,260631,2085,375,upi,2026-08-25T12:58:54,captured
pay_0074,ord_0074,609264,11576,2084,netbanking,2026-08-25T17:35:38,captured
pay_0075,ord_0075,2167193,41177,7412,netbanking,2026-08-25T17:28:57,captured
pay_0076,ord_0076,1937729,36817,6627,netbanking,2026-08-25T12:53:40,captured
pay_0077,ord_0077,2082547,16660,2999,upi,2026-08-25T12:17:28,captured
pay_0078,ord_0078,1019980,19380,3488,netbanking,2026-08-27T11:45:13,captured
pay_0079,ord_0079,1759595,33432,6018,netbanking,2026-08-27T17:29:26,captured
pay_0080,ord_0080,1812209,34432,6198,netbanking,2026-08-27T09:54:56,captured
pay_0081,ord_0081,74729,1420,256,netbanking,2026-08-27T13:48:24,captured
pay_0082,ord_0082,2340644,18725,3371,upi,2026-08-27T12:31:14,captured
pay_0083,ord_0083,171738,3263,587,netbanking,2026-08-29T14:42:43,captured
pay_0084,ord_0084,2010376,40208,7237,card,2026-08-29T17:01:58,captured
pay_0085,ord_0085,2417231,19338,3481,upi,2026-08-29T09:05:41,captured
pay_0086,ord_0086,1986503,39730,7151,card,2026-08-29T09:16:24,captured
pay_0087,ord_0087,1957147,37186,6693,netbanking,2026-08-29T14:48:56,captured
pay_0088,ord_0088,1818171,34545,6218,netbanking,2026-08-29T10:30:01,captured
pay_0089,ord_0089,1517840,30357,5464,card,2026-08-29T10:49:41,captured
pay_0090,ord_0090,2415459,48309,8696,card,2026-08-31T16:44:16,captured
pay_0091,ord_0091,530385,10608,1909,card,2026-08-31T13:06:37,captured
pay_0092,ord_0092,2465066,19721,3550,upi,2026-08-31T15:25:45,captured
pay_0093,ord_0093,1068584,21372,3847,card,2026-08-31T13:54:43,captured
pay_0094,ord_0094,222256,4223,760,netbanking,2026-08-31T17:27:42,captured
pay_0095,ord_0095,2415459,48309,8696,card,2026-09-02T17:41:21,captured
pay_0096,ord_0096,530385,10608,1909,card,2026-09-02T16:06:27,captured
pay_0097,ord_0097,2465066,19721,3550,upi,2026-09-02T16:45:09,captured
pay_0098,ord_0098,1068584,21372,3847,card,2026-09-02T17:41:17,captured
pay_0099,ord_0099,222256,4223,760,netbanking,2026-09-02T16:27:52,captured
pay_0100,ord_0100,1460949,29219,5259,card,2026-09-04T16:54:20,captured
pay_0101,ord_0101,939695,17854,3214,netbanking,2026-09-04T13:21:17,captured
pay_0102,ord_0102,92576,741,133,upi,2026-09-04T12:05:15,captured
pay_0103,ord_0103,2378577,47572,8563,card,2026-09-04T16:41:45,captured
pay_0104,ord_0104,122323,2446,440,card,2026-09-04T13:14:25,captured
pay_0105,ord_0105,2489220,47295,8513,netbanking,2026-09-04T16:35:33,captured
pay_0106,ord_0106,2358496,44811,8066,netbanking,2026-09-04T14:44:29,captured
pay_0107,ord_0107,2080876,39537,7117,netbanking,2026-09-06T17:38:18,captured
pay_0108,ord_0108,1292547,25851,4653,card,2026-09-06T14:11:19,captured
pay_0109,ord_0109,580927,11038,1987,netbanking,2026-09-06T09:03:35,captured
pay_0110,ord_0110,2108894,42178,7592,card,2026-09-06T09:36:18,captured
pay_0111,ord_0111,1897460,36052,6489,netbanking,2026-09-06T11:03:16,captured
pay_0112,ord_0112,546821,4375,788,upi,2026-09-08T15:38:38,captured
pay_0113,ord_0113,1645421,31263,5627,netbanking,2026-09-08T16:19:55,captured
pay_0114,ord_0114,2435004,19480,3506,upi,2026-09-08T09:39:47,captured
pay_0115,ord_0115,935103,17767,3198,netbanking,2026-09-08T10:10:15,captured
pay_0116,ord_0116,364844,7297,1313,card,2026-09-08T09:26:28,captured
pay_0117,ord_0117,1020881,19397,3491,netbanking,2026-09-10T13:44:55,captured
pay_0118,ord_0118,1029050,19552,3519,netbanking,2026-09-10T12:27:07,captured
pay_0119,ord_0119,674906,12823,2308,netbanking,2026-09-10T11:04:03,captured
pay_0120,ord_0120,2437427,46311,8336,netbanking,2026-09-10T16:07:29,captured
pay_0121,ord_0121,1862059,14896,2681,upi,2026-09-12T14:38:16,captured
pay_0122,ord_0122,1010178,8081,1455,upi,2026-09-12T09:48:43,captured
pay_0123,ord_0123,218743,4375,788,card,2026-09-12T16:33:41,captured
pay_0124,ord_0124,811220,6490,1168,upi,2026-09-12T15:40:52,captured
pay_0125,ord_0125,488723,9774,1759,card,2026-09-14T14:26:44,captured
pay_0126,ord_0126,1729618,13837,2491,upi,2026-09-14T09:29:05,captured
pay_0127,ord_0127,1405908,28118,5061,card,2026-09-14T15:55:32,captured
pay_0128,ord_0128,2325802,44190,7954,netbanking,2026-09-14T15:03:12,captured
pay_0129,ord_0129,2140831,17127,3083,upi,2026-09-14T16:48:03,captured
pay_0130,ord_0130,2353594,47072,8473,card,2026-09-14T13:28:56,captured
pay_0131,ord_0131,1761236,35225,6341,card,2026-09-16T12:53:58,captured
pay_0132,ord_0132,542688,4342,782,upi,2026-09-16T11:31:59,captured
pay_0133,ord_0133,1196827,22740,4093,netbanking,2026-09-16T16:30:15,captured
pay_0134,ord_0134,656672,12477,2246,netbanking,2026-09-16T12:58:38,captured
pay_0135,ord_0135,342804,6513,1172,netbanking,2026-09-16T15:21:59,captured
pay_0136,ord_0136,60759,1154,208,netbanking,2026-09-16T13:53:37,captured
pay_0137,ord_0137,2364909,18919,3405,upi,2026-09-18T15:29:59,captured
pay_0138,ord_0138,1051623,8413,1514,upi,2026-09-18T15:14:54,captured
pay_0139,ord_0139,1384528,11076,1994,upi,2026-09-18T16:45:58,captured
pay_0140,ord_0140,687975,13072,2353,netbanking,2026-09-18T09:08:32,captured
pay_0141,ord_0141,1896778,37936,6828,card,2026-09-18T17:58:29,captured
pay_0142,ord_0142,1769574,14157,2548,upi,2026-09-18T11:04:30,captured
