settlement_id,utr,settled_at,gross,fee,tax,refund_total,adjustment_total,net
set_0001,HDFCN26215398382,2026-08-03,4492779,74712,13448,0,0,4404619
set_0002,UTIBN26217069403,2026-08-05,7993282,141241,25422,0,0,7826619
set_0003,ICICN26219532342,2026-08-07,9281317,113622,20452,0,0,9147243
set_0004,ICICN26221007540,2026-08-09,13692018,193969,34914,0,0,13463135
set_0005,UTIBN26223485100,2026-08-11,5431758,105120,18921,0,0,5307717
set_0006,HDFCN26225708011,2026-08-13,7864195,155191,27934,0,0,7681070
set_0007,UTIBN26227923653,2026-08-15,7681415,123652,22257,243508,0,7291998
set_0008,KKBKN26229588153,2026-08-17,8888715,147279,26510,0,-477418,8237508
set_0009,ICICN26231924231,2026-08-19,3945317,38577,6943,0,0,3899797
set_0010,UTIBN26233457592,2026-08-21,7398170,133114,23961,0,0,7241095
set_0011,UTIBN26235425800,2026-08-23,5292581,72409,13033,0,0,5207139
set_0012,HDFCN26237048458,2026-08-25,4668295,77312,13916,0,0,4577067
set_0013,UTIBN26239936406,2026-08-27,11014124,185327,33360,0,477418,11272855
set_0014,ICICN26241209044,2026-08-29,7007157,107389,19331,0,0,6880437
set_0015,HDFCN26243651517,2026-08-31,11879006,204627,36831,0,0,11637548
set_0016,ICICN26245871084,2026-09-02,6701750,104233,18762,0,0,6578755
set_0017,HDFCN26247292477,2026-09-04,6701750,104233,18762,0,0,6578755
set_0018,UTIBN26249125362,2026-09-06,9841836,189938,34188,261736,0,9355974
set_0019,HDFCN26251420172,2026-09-08,7960704,154656,27838,0,0,7778210
set_0020,UTIBN26253524783,2026-09-10,5927193,80182,14432,0,0,5832579
set_0021,KKBKN26255459023,2026-09-12,5162264,98083,17654,0,0,5046527
set_0022,KKBKN26257364863,2026-09-14,3902200,33842,6092,0,0,3862266
set_0023,UTIBN26259577596,2026-09-16,10444476,160118,28821,0,-974594,9280943
set_0024,KKBKN26261564742,2026-09-18,4560986,82451,14841,0,0,4463694
set_0025,KKBKN26263681403,2026-09-20,9155387,103573,18642,0,0,9033172
set_0026,HDFCN26265307618,2026-09-22,2805536,27164,4890,0,0,2773482
set_0027,HDFCN26267248728,2026-09-24,7116271,105857,19055,0,974594,7965953
